Track file,D:\My Documents\EthoVisionExperiments\Mark\Q40_0002\data\track_00299.trk
Object,0
Samples,98901
Injection #,1,
OF,3,
Rat ID,03NS,
Drug,Saline,
Lesion ,NMDA,
Body wt,363,
Group,NAc/Saline,
Test date,2012-01-12 09:15:00.000,yyyy-MM-dd HH:mm:ss
Experimenter,Amanda Toufeili,
Digitizing computer,Anna-2,
Scorer,Emma Mauti,
Study,Q40,
Comments,,
Observations,boards maybe on opposite tables,
Frame position,109136,
Status,Acquired,
Trial duration,0000:00:55:00.000,dd:HH:mm:ss
Tracking profile,OF3 352x240,
Arena,OF3 Jun11,
Track file,track_00299.trk,
Object,0,
Arena profile,OF3,
Start date & time,2012-01-19 11:30:04.187,yyyy-MM-dd HH:mm:ss
Stop date & time,2012-01-19 12:25:04.187,yyyy-MM-dd HH:mm:ss
Trial number,1,
Mobility low,0,
Mobility high,0,
Movie file,of3 inj1 jan12_12 46SD 03NS 12SS mpeg2 Simplicity 352x240 1168rate.mpg,
Maximum voltage x,0,
Maximum voltage y,0,
Mobility running av,1,
Sample no.,Time,X,Y,Area,ZONES
1,0.00,114.63,101.90,309.00,-
2,0.03,116.09,101.92,313.00,-
3,0.07,116.80,102.72,311.00,-
4,0.10,117.52,102.73,304.00,-
5,0.13,118.25,102.74,320.00,-
6,0.17,118.98,102.74,316.00,-
7,0.20,120.46,101.96,302.00,-
8,0.23,120.46,101.96,312.00,-
9,0.27,121.92,101.98,311.00,-
10,0.30,122.64,101.99,317.00,-
11,0.33,122.64,101.99,316.00,-
12,0.37,124.10,102.01,323.00,-
13,0.40,124.12,101.21,330.00,-
14,0.43,124.85,101.22,329.00,-
15,0.47,125.57,101.23,317.00,-
16,0.50,126.30,101.23,315.00,-
17,0.53,126.30,101.23,319.00,-
18,0.57,126.30,101.23,332.00,-
19,0.60,126.30,101.23,327.00,-
20,0.63,127.03,101.24,324.00,-
21,0.67,127.00,102.04,317.00,-
22,0.70,127.00,102.04,322.00,-
23,0.73,127.71,102.84,311.00,-
24,0.77,127.71,102.84,328.00,-
25,0.80,128.44,102.85,325.00,-
26,0.83,128.44,102.85,328.00,-
27,0.87,129.16,102.86,322.00,-
28,0.90,129.14,103.66,319.00,-
29,0.93,129.14,103.66,312.00,-
30,0.97,129.12,104.46,310.00,-
31,1.00,129.10,105.26,297.00,-
32,1.03,129.10,105.26,309.00,-
33,1.07,129.08,106.05,322.00,-
34,1.10,129.06,106.85,322.00,-
35,1.13,129.06,106.85,331.00,-
36,1.17,129.77,107.66,336.00,-
37,1.20,129.75,108.46,342.00,-
38,1.23,130.48,108.47,352.00,-
39,1.27,130.46,109.27,347.00,-
40,1.30,130.44,110.07,344.00,-
41,1.33,131.17,110.08,351.00,-
42,1.37,131.15,110.89,349.00,-
43,1.40,131.86,111.70,343.00,-
44,1.43,132.59,111.71,348.00,-
45,1.47,133.30,112.52,340.00,-
46,1.50,133.29,113.33,339.00,-
47,1.53,133.29,113.33,351.00,-
48,1.57,133.99,114.95,334.00,-
49,1.60,134.70,115.76,334.00,-
50,1.63,134.69,116.57,342.00,-
51,1.67,135.40,117.39,354.00,-
52,1.70,135.40,117.39,370.00,-
53,1.74,136.11,119.02,364.00,-
54,1.77,136.11,119.02,355.00,-
55,1.80,137.54,120.66,352.00,-
56,1.84,138.26,121.48,355.00,-
57,1.87,138.98,122.31,351.00,-
58,1.90,139.71,123.14,355.00,-
59,1.94,141.16,123.98,340.00,-
60,1.97,141.16,123.98,361.00,-
61,2.00,141.88,125.62,390.00,-
62,2.04,141.87,126.44,401.00,-
63,2.07,141.87,127.25,385.00,-
64,2.10,142.60,128.08,362.00,-
65,2.14,142.60,128.90,385.00,-
66,2.17,143.33,129.74,380.00,-
67,2.20,144.06,130.57,361.00,-
68,2.23,144.06,131.39,405.00,-
69,2.27,144.80,132.23,370.00,-
70,2.30,145.53,133.07,367.00,-
71,2.34,146.27,133.91,356.00,-
72,2.37,147.01,134.76,357.00,-
73,2.40,147.02,135.58,353.00,-
74,2.44,147.76,136.42,368.00,-
75,2.47,147.77,137.25,399.00,-
76,2.50,147.78,138.07,377.00,-
77,2.54,148.52,138.92,375.00,-
78,2.57,148.55,140.58,370.00,-
79,2.60,148.57,141.41,374.00,-
80,2.64,150.03,141.46,329.00,-
81,2.67,150.05,142.29,359.00,-
82,2.70,151.54,143.17,364.00,-
83,2.74,151.56,144.00,380.00,-
84,2.77,152.31,144.86,361.00,-
85,2.80,153.07,145.72,373.00,-
86,2.84,153.83,146.59,362.00,-
87,2.87,154.56,146.62,329.00,-
88,2.90,155.32,147.48,377.00,-
89,2.94,155.35,148.32,372.00,-
90,2.97,156.12,149.19,358.00,-
91,3.00,156.92,150.90,337.00,-
92,3.04,156.95,151.74,370.00,-
93,3.07,157.69,151.78,346.00,-
94,3.10,157.76,153.46,336.00,-
95,3.14,158.49,153.50,351.00,-
96,3.17,159.23,153.53,330.00,-
97,3.20,159.27,154.38,328.00,-
98,3.24,160.05,155.26,366.00,-
99,3.27,160.83,156.14,317.00,-
100,3.30,161.57,156.18,345.00,-
101,3.34,162.35,157.07,351.00,-
102,3.37,163.13,157.96,315.00,-
103,3.40,163.18,158.81,299.00,-
104,3.44,164.02,160.55,303.00,-
105,3.47,164.76,160.59,332.00,-
106,3.50,164.81,161.45,322.00,-
107,3.54,165.61,162.35,314.00,-
108,3.57,166.35,162.39,299.00,-
109,3.60,166.41,163.25,317.00,-
110,3.64,167.15,163.29,354.00,-
111,3.67,167.15,163.29,318.00,-
112,3.70,167.15,163.29,343.00,-
113,3.74,167.15,163.29,331.00,-
114,3.77,167.15,163.29,346.00,-
115,3.80,167.15,163.29,344.00,-
116,3.84,167.15,163.29,341.00,-
117,3.87,167.15,163.29,348.00,-
118,3.90,167.15,163.29,341.00,-
119,3.94,167.15,163.29,355.00,-
120,3.97,167.89,163.34,353.00,-
121,4.00,167.15,163.29,347.00,-
122,4.04,167.15,163.29,332.00,-
123,4.07,167.89,163.34,347.00,-
124,4.10,167.89,163.34,318.00,-
125,4.14,168.63,163.38,323.00,-
126,4.17,168.69,164.24,347.00,-
127,4.20,168.69,164.24,319.00,-
128,4.24,169.43,164.29,324.00,-
129,4.27,169.49,165.15,289.00,-
130,4.30,169.49,165.15,289.00,-
131,4.34,169.49,165.15,325.00,-
132,4.37,169.49,165.15,309.00,-
133,4.40,169.49,165.15,312.00,-
134,4.44,170.30,166.06,341.00,-
135,4.47,170.23,165.20,311.00,-
136,4.50,170.23,165.20,326.00,-
137,4.54,170.30,166.06,325.00,-
138,4.57,170.23,165.20,300.00,-
139,4.60,170.30,166.06,319.00,-
140,4.64,171.04,166.11,332.00,-
141,4.67,171.11,166.97,338.00,-
142,4.70,171.04,166.11,328.00,-
143,4.74,171.04,166.11,349.00,-
144,4.77,171.11,166.97,347.00,-
145,4.80,171.04,166.11,325.00,-
146,4.84,170.23,165.20,314.00,-
147,4.87,170.23,165.20,316.00,-
148,4.90,169.49,165.15,311.00,-
149,4.94,170.23,165.20,314.00,-
150,4.97,170.30,166.06,350.00,-
151,5.00,171.04,166.11,326.00,-
152,5.04,171.04,166.11,319.00,-
153,5.07,170.30,166.06,322.00,-
154,5.11,171.04,166.11,337.00,-
155,5.14,170.36,166.92,334.00,-
156,5.17,170.36,166.92,341.00,-
157,5.21,170.36,166.92,329.00,-
158,5.24,170.36,166.92,384.00,-
159,5.27,170.36,166.92,332.00,-
160,5.30,170.36,166.92,351.00,-
161,5.34,170.36,166.92,342.00,-
162,5.37,170.36,166.92,338.00,-
163,5.41,170.30,166.06,365.00,-
164,5.44,170.36,166.92,348.00,-
165,5.47,170.30,166.06,373.00,-
166,5.50,170.30,166.06,370.00,-
167,5.54,170.30,166.06,352.00,-
168,5.57,169.56,166.01,319.00,-
169,5.61,170.30,166.06,332.00,-
170,5.64,169.49,165.15,321.00,-
171,5.67,168.69,164.24,315.00,-
172,5.71,168.69,164.24,319.00,-
173,5.74,168.75,165.10,312.00,-
174,5.77,168.01,165.05,310.00,-
175,5.80,168.01,165.05,311.00,-
176,5.84,168.01,165.05,324.00,-
177,5.87,168.07,165.91,291.00,-
178,5.91,168.07,165.91,283.00,-
179,5.94,168.07,165.91,305.00,-
180,5.97,168.07,165.91,322.00,-
181,6.01,167.33,165.87,321.00,-
182,6.04,167.33,165.87,320.00,-
183,6.07,166.65,166.68,298.00,-
184,6.11,166.65,166.68,304.00,-
185,6.14,166.71,167.54,305.00,-
186,6.17,167.45,167.59,354.00,-
187,6.21,165.96,167.49,286.00,-
188,6.24,166.84,169.26,312.00,-
189,6.27,166.09,169.22,282.00,-
190,6.31,166.09,169.22,290.00,-
191,6.34,166.16,170.08,315.00,-
192,6.37,165.48,170.89,301.00,-
193,6.41,165.48,170.89,254.00,-
194,6.44,166.30,171.81,289.00,-
195,6.47,165.55,171.76,272.00,-
196,6.51,165.62,172.62,233.00,-
197,6.54,165.55,171.76,257.00,-
198,6.57,165.55,171.76,250.00,-
199,6.61,165.55,171.76,260.00,-
200,6.64,165.55,171.76,257.00,-
201,6.67,165.55,171.76,258.00,-
202,6.71,165.55,171.76,256.00,-
203,6.74,165.55,171.76,258.00,-
204,6.77,165.48,170.89,251.00,-
205,6.81,164.81,171.71,251.00,-
206,6.84,165.48,170.89,245.00,-
207,6.87,165.48,170.89,249.00,-
208,6.91,165.55,171.76,239.00,-
209,6.94,164.74,170.84,266.00,-
210,6.97,165.55,171.76,237.00,-
211,7.01,165.55,171.76,236.00,-
212,7.04,166.23,170.94,252.00,-
213,7.07,165.55,171.76,237.00,-
214,7.11,165.48,170.89,236.00,-
215,7.14,165.55,171.76,237.00,-
216,7.17,166.30,171.81,246.00,-
217,7.21,165.48,170.89,237.00,-
218,7.24,166.30,171.81,249.00,-
219,7.27,166.30,171.81,233.00,-
220,7.31,166.30,171.81,226.00,-
221,7.34,166.37,172.67,238.00,-
222,7.37,166.23,170.94,234.00,-
223,7.41,165.48,170.89,224.00,-
224,7.44,166.23,170.94,242.00,-
225,7.47,166.23,170.94,230.00,-
226,7.51,166.23,170.94,264.00,-
227,7.54,166.30,171.81,238.00,-
228,7.57,166.23,170.94,258.00,-
229,7.61,166.23,170.94,269.00,-
230,7.64,167.05,171.86,248.00,-
231,7.67,166.98,170.99,274.00,-
232,7.71,166.98,170.99,273.00,-
233,7.74,166.98,170.99,315.00,-
234,7.77,167.05,171.86,276.00,-
235,7.81,167.80,171.91,277.00,-
236,7.84,166.98,170.99,294.00,-
237,7.87,166.98,170.99,293.00,-
238,7.91,166.98,170.99,310.00,-
239,7.94,166.98,170.99,288.00,-
240,7.97,166.98,170.99,266.00,-
241,8.01,166.91,170.13,268.00,-
242,8.04,166.84,169.26,291.00,-
243,8.07,166.91,170.13,284.00,-
244,8.11,166.91,170.13,260.00,-
245,8.14,167.66,170.18,300.00,-
246,8.17,167.66,170.18,262.00,-
247,8.21,167.66,170.18,258.00,-
248,8.24,167.66,170.18,258.00,-
249,8.27,167.66,170.18,283.00,-
250,8.31,167.59,169.31,253.00,-
251,8.34,168.33,169.36,281.00,-
252,8.38,168.26,168.50,294.00,-
253,8.41,168.26,168.50,283.00,-
254,8.44,167.52,168.45,269.00,-
255,8.47,167.52,168.45,256.00,-
256,8.51,166.65,166.68,259.00,-
257,8.54,167.45,167.59,267.00,-
258,8.58,167.39,166.73,259.00,-
259,8.61,166.65,166.68,271.00,-
260,8.64,167.39,166.73,296.00,-
261,8.68,166.65,166.68,310.00,-
262,8.71,167.39,166.73,316.00,-
263,8.74,167.39,166.73,312.00,-
264,8.78,167.39,166.73,305.00,-
265,8.81,168.13,166.78,324.00,-
266,8.84,168.13,166.78,312.00,-
267,8.88,168.81,165.96,302.00,-
268,8.91,168.81,165.96,338.00,-
269,8.94,168.75,165.10,333.00,-
270,8.97,169.49,165.15,349.00,-
271,9.01,169.43,164.29,362.00,-
272,9.04,170.17,164.34,343.00,-
273,9.08,170.91,164.38,323.00,-
274,9.11,170.17,164.34,350.00,-
275,9.14,170.91,164.38,352.00,-
276,9.18,170.91,164.38,334.00,-
277,9.21,170.91,164.38,339.00,-
278,9.24,170.17,164.34,345.00,-
279,9.28,170.98,165.25,331.00,-
280,9.31,170.98,165.25,333.00,-
281,9.34,170.98,165.25,335.00,-
282,9.38,171.65,164.43,322.00,-
283,9.41,170.91,164.38,338.00,-
284,9.44,171.65,164.43,325.00,-
285,9.48,170.91,164.38,333.00,-
286,9.51,170.91,164.38,337.00,-
287,9.54,170.91,164.38,338.00,-
288,9.58,170.91,164.38,338.00,-
289,9.61,170.98,165.25,342.00,-
290,9.64,170.91,164.38,340.00,-
291,9.68,170.91,164.38,341.00,-
292,9.71,170.91,164.38,333.00,-
293,9.74,170.91,164.38,350.00,-
294,9.78,171.65,164.43,334.00,-
295,9.81,170.91,164.38,343.00,-
296,9.84,170.91,164.38,349.00,-
297,9.88,170.85,163.52,357.00,-
298,9.91,170.91,164.38,348.00,-
299,9.94,170.85,163.52,356.00,-
300,9.98,170.85,163.52,347.00,-
301,10.01,171.59,163.57,368.00,-
302,10.04,171.59,163.57,353.00,-
303,10.08,172.27,162.76,350.00,-
304,10.11,172.27,162.76,334.00,-
305,10.14,172.21,161.90,333.00,-
306,10.18,172.21,161.90,334.00,-
307,10.21,172.21,161.90,354.00,-
308,10.24,172.89,161.08,342.00,-
309,10.28,172.15,161.04,348.00,-
310,10.31,172.84,160.23,352.00,-
311,10.34,172.84,160.23,348.00,-
312,10.38,172.78,159.37,342.00,-
313,10.41,172.72,158.51,344.00,-
314,10.44,172.67,157.65,365.00,-
315,10.48,172.67,157.65,351.00,-
316,10.51,172.62,156.80,358.00,-
317,10.54,171.25,158.42,368.00,-
318,10.58,171.88,156.75,338.00,-
319,10.61,171.15,156.71,375.00,-
320,10.64,171.88,156.75,390.00,-
321,10.68,171.88,156.75,390.00,-
322,10.71,171.88,156.75,373.00,-
323,10.74,172.57,155.94,347.00,-
324,10.78,173.30,155.98,330.00,-
325,10.81,172.62,156.80,350.00,-
326,10.84,173.99,155.17,313.00,-
327,10.88,173.99,155.17,305.00,-
328,10.91,173.25,155.13,319.00,-
329,10.94,173.94,154.32,306.00,-
330,10.98,173.94,154.32,327.00,-
331,11.01,173.94,154.32,303.00,-
332,11.04,173.99,155.17,315.00,-
333,11.08,173.99,155.17,312.00,-
334,11.11,173.99,155.17,313.00,-
335,11.14,173.99,155.17,315.00,-
336,11.18,173.94,154.32,319.00,-
337,11.21,173.94,154.32,318.00,-
338,11.24,173.89,153.46,312.00,-
339,11.28,172.52,155.09,367.00,-
340,11.31,173.85,152.61,333.00,-
341,11.34,173.80,151.76,308.00,-
342,11.38,173.11,152.57,344.00,-
343,11.41,173.76,150.90,311.00,-
344,11.44,173.03,150.86,330.00,-
345,11.48,172.29,150.82,333.00,-
346,11.51,171.56,150.78,332.00,-
347,11.54,171.56,150.78,313.00,-
348,11.58,170.83,150.75,313.00,-
349,11.61,170.83,150.75,305.00,-
350,11.64,170.10,150.71,313.00,-
351,11.68,170.02,149.01,289.00,-
352,11.71,170.02,149.01,299.00,-
353,11.75,169.29,148.97,291.00,-
354,11.78,168.56,148.94,295.00,-
355,11.81,168.52,148.09,303.00,-
356,11.85,167.79,148.05,319.00,-
357,11.88,167.79,148.05,307.00,-
358,11.91,167.06,148.02,323.00,-
359,11.95,166.29,147.14,344.00,-
360,11.98,166.29,147.14,345.00,-
361,12.01,165.56,147.10,345.00,-
362,12.05,164.83,147.07,347.00,-
363,12.08,164.10,147.03,344.00,-
364,12.11,162.63,146.97,357.00,-
365,12.15,162.63,146.97,369.00,-
366,12.18,161.17,146.90,382.00,-
367,12.21,161.14,146.06,387.00,-
368,12.25,160.41,146.03,404.00,-
369,12.28,159.67,146.00,382.00,-
370,12.31,158.91,145.13,409.00,-
371,12.35,158.18,145.10,393.00,-
372,12.38,158.16,144.26,416.00,-
373,12.41,156.69,144.20,417.00,-
374,12.45,156.69,144.20,422.00,-
375,12.48,155.93,143.34,427.00,-
376,12.51,155.93,143.34,419.00,-
377,12.55,155.18,142.48,408.00,-
378,12.58,154.45,142.45,412.00,-
379,12.61,153.72,142.42,410.00,-
380,12.65,152.96,141.56,431.00,-
381,12.68,152.21,140.71,434.00,-
382,12.71,152.21,140.71,422.00,-
383,12.75,151.47,139.85,434.00,-
384,12.78,150.72,139.00,433.00,-
385,12.81,149.97,138.15,410.00,-
386,12.85,149.97,138.15,432.00,-
387,12.88,149.97,138.15,429.00,-
388,12.91,149.96,137.32,435.00,-
389,12.95,149.96,137.32,419.00,-
390,12.98,150.69,137.34,423.00,-
391,13.01,150.68,136.52,392.00,-
392,13.05,150.67,135.69,395.00,-
393,13.08,151.40,135.72,398.00,-
394,13.11,151.39,134.89,407.00,-
395,13.15,151.39,134.89,417.00,-
396,13.18,151.37,133.24,395.00,-
397,13.21,151.37,133.24,400.00,-
398,13.25,150.63,132.40,377.00,-
399,13.28,150.63,131.57,351.00,-
400,13.31,150.63,131.57,375.00,-
401,13.35,151.35,130.77,386.00,-
402,13.38,151.34,129.95,387.00,-
403,13.41,151.34,129.13,356.00,-
404,13.45,151.34,128.31,375.00,-
405,13.48,151.34,128.31,360.00,-
406,13.51,152.06,127.51,377.00,-
407,13.55,152.79,127.53,399.00,-
408,13.58,152.78,126.71,404.00,-
409,13.61,153.51,125.91,401.00,-
410,13.65,153.51,125.09,406.00,-
411,13.68,154.23,124.29,427.00,-
412,13.71,154.23,124.29,407.00,-
413,13.75,154.23,123.47,424.00,-
414,13.78,154.23,122.65,422.00,-
415,13.81,154.95,122.67,422.00,-
416,13.85,154.96,121.85,414.00,-
417,13.88,154.95,122.67,418.00,-
418,13.91,154.95,122.67,414.00,-
419,13.95,155.68,121.87,401.00,-
420,13.98,155.68,122.69,391.00,-
421,14.01,155.68,122.69,388.00,-
422,14.05,156.40,122.71,375.00,-
423,14.08,156.40,123.53,370.00,-
424,14.11,156.40,123.53,383.00,-
425,14.15,157.13,123.55,388.00,-
426,14.18,157.13,124.37,384.00,-
427,14.21,157.13,124.37,407.00,-
428,14.25,157.85,124.39,404.00,-
429,14.28,157.85,124.39,388.00,-
430,14.31,157.85,124.39,403.00,-
431,14.35,157.85,125.21,395.00,-
432,14.38,158.57,124.41,413.00,-
433,14.41,158.57,124.41,403.00,-
434,14.45,159.30,124.43,375.00,-
435,14.48,159.30,124.43,405.00,-
436,14.51,160.02,124.45,396.00,-
437,14.55,160.02,124.45,433.00,-
438,14.58,160.75,125.29,400.00,-
439,14.61,160.75,125.29,423.00,-
440,14.65,162.20,126.16,411.00,-
441,14.68,162.92,126.18,429.00,-
442,14.71,162.92,127.00,431.00,-
443,14.75,162.92,127.00,452.00,-
444,14.78,164.37,127.05,434.00,-
445,14.81,164.37,127.05,467.00,-
446,14.85,165.81,127.09,455.00,-
447,14.88,167.26,127.14,487.00,-
448,14.91,167.26,127.14,491.00,-
449,14.95,167.25,126.31,488.00,-
450,14.98,168.70,127.18,473.00,-
451,15.02,169.42,127.21,399.00,-
452,15.05,168.70,127.18,421.00,-
453,15.08,169.42,127.21,416.00,-
454,15.12,169.43,128.04,404.00,-
455,15.15,170.15,128.06,396.00,-
456,15.18,169.43,128.04,385.00,-
457,15.22,169.43,128.04,381.00,-
458,15.25,169.43,128.04,408.00,-
459,15.28,169.43,128.04,409.00,-
460,15.32,170.15,128.06,401.00,-
461,15.35,170.15,128.06,400.00,-
462,15.38,169.43,128.04,409.00,-
463,15.42,170.15,128.06,434.00,-
464,15.45,169.43,128.04,393.00,-
465,15.48,169.43,128.04,394.00,-
466,15.52,169.43,128.04,389.00,-
467,15.55,169.43,128.04,396.00,-
468,15.58,169.43,128.04,393.00,-
469,15.62,169.43,128.04,423.00,-
470,15.65,170.15,128.06,434.00,-
471,15.68,170.14,127.23,428.00,-
472,15.72,170.15,128.06,412.00,-
473,15.75,169.42,127.21,422.00,-
474,15.78,169.42,127.21,421.00,-
475,15.82,170.14,127.23,413.00,-
476,15.85,170.86,127.25,396.00,-
477,15.88,170.86,127.25,390.00,-
478,15.92,170.14,127.23,407.00,-
479,15.95,170.14,127.23,429.00,-
480,15.98,170.14,127.23,432.00,-
481,16.02,169.41,126.38,439.00,-
482,16.05,169.41,126.38,460.00,-
483,16.08,169.41,126.38,462.00,-
484,16.12,168.68,125.53,442.00,-
485,16.15,168.68,125.53,459.00,-
486,16.18,170.11,124.74,427.00,-
487,16.22,169.39,124.72,431.00,-
488,16.25,169.39,124.72,454.00,-
489,16.28,170.11,123.91,471.00,-
490,16.32,169.39,123.89,474.00,-
491,16.35,170.11,123.91,443.00,-
492,16.38,170.11,123.91,441.00,-
493,16.42,170.83,123.93,436.00,-
494,16.45,170.83,123.93,445.00,-
495,16.48,172.26,123.15,410.00,-
496,16.52,172.26,123.15,424.00,-
497,16.55,172.97,122.34,394.00,-
498,16.58,172.25,122.32,413.00,-
499,16.62,171.53,122.30,422.00,-
500,16.65,171.53,122.30,435.00,-
501,16.68,172.25,122.32,444.00,-
502,16.72,172.25,122.32,419.00,-
503,16.75,172.25,122.32,442.00,-
504,16.78,172.25,121.49,443.00,-
505,16.82,172.25,122.32,442.00,-
506,16.85,172.96,121.51,436.00,-
507,16.88,172.96,120.68,412.00,-
508,16.92,172.96,119.85,398.00,-
509,16.95,174.38,119.06,415.00,-
510,16.98,173.67,119.04,393.00,-
511,17.02,174.38,117.40,396.00,-
512,17.05,173.67,117.39,420.00,-
513,17.08,173.67,117.39,443.00,-
514,17.12,174.38,116.58,376.00,-
515,17.15,175.10,114.94,395.00,-
516,17.18,175.10,114.11,338.00,-
517,17.22,175.10,114.11,343.00,-
518,17.25,175.10,113.29,371.00,-
519,17.28,175.10,112.46,362.00,-
520,17.32,175.82,111.65,357.00,-
521,17.35,175.11,111.64,348.00,-
522,17.38,175.11,110.81,342.00,-
523,17.42,175.11,109.99,334.00,-
524,17.45,175.83,110.00,353.00,-
525,17.48,175.11,109.99,346.00,-
526,17.52,175.13,108.34,334.00,-
527,17.55,175.13,108.34,343.00,-
528,17.58,175.13,108.34,360.00,-
529,17.62,175.13,107.52,359.00,-
530,17.65,175.85,106.71,363.00,-
531,17.68,175.14,106.70,350.00,-
532,17.72,175.14,106.70,365.00,-
533,17.75,175.86,105.89,371.00,-
534,17.78,175.86,105.89,348.00,-
535,17.82,175.15,105.88,334.00,-
536,17.85,175.17,104.23,325.00,-
537,17.88,175.16,105.05,344.00,-
538,17.92,175.15,105.88,385.00,-
539,17.95,175.16,105.05,389.00,-
540,17.98,175.16,105.05,392.00,-
541,18.02,175.16,105.05,386.00,-
542,18.05,175.87,105.06,365.00,-
543,18.08,175.87,105.06,336.00,-
544,18.12,175.87,105.06,340.00,-
545,18.15,175.87,105.06,339.00,-
546,18.18,175.87,105.06,339.00,-
547,18.22,175.87,105.06,330.00,-
548,18.25,175.86,105.89,357.00,-
549,18.28,175.87,105.06,338.00,-
550,18.32,175.87,105.06,328.00,-
551,18.35,175.86,105.89,339.00,-
552,18.39,175.86,105.89,325.00,-
553,18.42,175.87,105.06,320.00,-
554,18.45,175.86,105.89,310.00,-
555,18.48,175.86,105.89,315.00,-
556,18.52,175.86,105.89,322.00,-
557,18.55,175.86,105.89,324.00,-
558,18.59,175.14,106.70,333.00,-
559,18.62,175.14,106.70,321.00,-
560,18.65,175.14,106.70,324.00,-
561,18.68,175.14,106.70,333.00,-
562,18.72,175.14,106.70,338.00,-
563,18.75,175.13,107.52,330.00,-
564,18.79,175.13,107.52,346.00,-
565,18.82,175.85,106.71,318.00,-
566,18.85,175.13,107.52,329.00,-
567,18.89,175.85,106.71,330.00,-
568,18.92,175.13,107.52,345.00,-
569,18.95,175.13,107.52,344.00,-
570,18.98,175.13,107.52,327.00,-
571,19.02,175.13,107.52,327.00,-
572,19.05,175.14,106.70,335.00,-
573,19.09,175.13,107.52,341.00,-
574,19.12,175.13,107.52,337.00,-
575,19.15,175.13,107.52,341.00,-
576,19.18,175.13,107.52,332.00,-
577,19.22,175.13,107.52,330.00,-
578,19.25,174.42,107.51,377.00,-
579,19.29,175.13,107.52,338.00,-
580,19.32,175.13,107.52,328.00,-
581,19.35,175.13,107.52,331.00,-
582,19.39,175.13,107.52,330.00,-
583,19.42,175.13,107.52,346.00,-
584,19.45,175.13,107.52,348.00,-
585,19.49,175.13,108.34,362.00,-
586,19.52,174.41,108.33,350.00,-
587,19.55,175.13,108.34,344.00,-
588,19.59,175.13,108.34,338.00,-
589,19.62,174.41,108.33,342.00,-
590,19.65,174.41,108.33,344.00,-
591,19.69,175.13,108.34,347.00,-
592,19.72,175.13,108.34,340.00,-
593,19.75,174.41,109.15,341.00,-
594,19.79,174.41,109.15,337.00,-
595,19.82,174.41,109.15,334.00,-
596,19.85,174.41,109.15,328.00,-
597,19.89,174.41,109.15,329.00,-
598,19.92,174.41,109.15,315.00,-
599,19.95,174.41,109.15,316.00,-
600,19.99,174.40,109.98,335.00,-
601,20.02,174.40,109.98,322.00,-
602,20.05,174.40,109.98,328.00,-
603,20.09,174.40,109.98,318.00,-
604,20.12,173.69,109.96,327.00,-
605,20.15,173.69,109.96,336.00,-
606,20.19,173.69,109.96,355.00,-
607,20.22,172.98,109.13,368.00,-
608,20.25,172.98,109.13,371.00,-
609,20.29,172.98,109.95,372.00,-
610,20.32,172.97,110.77,363.00,-
611,20.35,172.97,110.77,362.00,-
612,20.39,172.26,110.76,377.00,-
613,20.42,172.26,110.76,380.00,-
614,20.45,172.25,111.58,346.00,-
615,20.49,172.25,111.58,357.00,-
616,20.52,172.25,112.40,344.00,-
617,20.55,172.25,112.40,355.00,-
618,20.59,172.96,112.42,391.00,-
619,20.62,172.96,112.42,385.00,-
620,20.65,172.96,113.24,397.00,-
621,20.69,172.96,113.24,375.00,-
622,20.72,172.95,114.07,359.00,-
623,20.75,172.96,113.24,386.00,-
624,20.79,172.24,114.05,364.00,-
625,20.82,172.24,114.05,372.00,-
626,20.85,172.95,114.07,350.00,-
627,20.89,172.95,114.07,357.00,-
628,20.92,172.95,114.07,366.00,-
629,20.95,172.95,114.07,360.00,-
630,20.99,172.95,114.07,361.00,-
631,21.02,172.24,114.05,379.00,-
632,21.05,172.95,114.07,361.00,-
633,21.09,172.95,114.07,365.00,-
634,21.12,172.24,114.05,375.00,-
635,21.15,172.95,114.07,375.00,-
636,21.19,172.95,114.07,366.00,-
637,21.22,173.67,114.08,352.00,-
638,21.25,172.95,114.07,383.00,-
639,21.29,172.95,114.07,350.00,-
640,21.32,172.24,114.05,358.00,-
641,21.35,172.95,114.07,360.00,-
642,21.39,172.95,114.07,371.00,-
643,21.42,172.96,113.24,356.00,-
644,21.45,172.96,113.24,358.00,-
645,21.49,172.96,113.24,353.00,-
646,21.52,172.24,113.23,355.00,-
647,21.55,172.24,113.23,334.00,-
648,21.59,172.24,113.23,342.00,-
649,21.62,172.24,113.23,329.00,-
650,21.65,172.96,113.24,347.00,-
651,21.69,172.96,113.24,341.00,-
652,21.72,172.24,113.23,349.00,-
653,21.75,172.96,112.42,358.00,-
654,21.79,172.96,112.42,363.00,-
655,21.82,172.24,113.23,338.00,-
656,21.86,172.24,113.23,339.00,-
657,21.89,172.96,112.42,343.00,-
658,21.92,172.24,113.23,330.00,-
659,21.96,172.25,112.40,342.00,-
660,21.99,172.25,112.40,346.00,-
661,22.02,172.25,112.40,332.00,-
662,22.06,172.96,112.42,340.00,-
663,22.09,172.25,112.40,347.00,-
664,22.12,172.25,112.40,363.00,-
665,22.16,172.96,112.42,366.00,-
666,22.19,172.25,112.40,342.00,-
667,22.22,172.25,112.40,360.00,-
668,22.25,172.25,112.40,357.00,-
669,22.29,172.25,112.40,360.00,-
670,22.32,172.25,112.40,340.00,-
671,22.36,172.25,112.40,356.00,-
