sample_id,t,x,y
230,7.64,204.46,157.92
231,7.67,204.46,157.92
232,7.71,203.69,158.68
233,7.74,204.46,157.92
234,7.77,204.46,157.92
235,7.81,204.46,157.92
236,7.84,204.46,157.16
237,7.87,204.46,157.16
238,7.91,204.46,157.16
239,7.94,204.46,157.16
240,7.97,203.69,158.68
241,8.01,203.69,157.92
242,8.04,203.69,157.92
243,8.07,203.69,158.68
244,8.11,203.69,157.92
245,8.14,203.69,157.92
246,8.17,203.69,157.16
247,8.21,203.69,157.92
248,8.24,203.69,157.92
249,8.27,203.69,157.92
250,8.31,203.69,158.68
251,8.34,203.69,157.92
252,8.38,203.69,157.92
253,8.41,203.69,157.92
254,8.44,202.93,158.68
255,8.47,203.69,157.92
256,8.51,203.69,157.92
257,8.54,203.69,157.92
258,8.58,203.69,157.92
259,8.61,203.69,157.92
260,8.64,203.69,158.68
261,8.68,203.69,157.92
262,8.71,203.69,157.92
263,8.74,203.69,158.68
264,8.78,203.69,157.92
265,8.81,203.69,157.92
266,8.84,203.69,157.92
267,8.88,203.69,157.16
268,8.91,203.69,157.16
269,8.94,203.69,157.16
270,8.97,203.69,157.16
271,9.01,202.93,157.92
272,9.04,202.93,157.92
273,9.08,202.93,157.92
274,9.11,202.93,157.92
275,9.14,202.93,157.92
276,9.18,202.93,157.92
277,9.21,202.93,157.92
278,9.24,202.93,157.92
279,9.28,202.93,157.92
280,9.31,202.93,157.92
281,9.34,202.93,157.92
282,9.38,202.93,157.92
283,9.41,202.93,157.92
284,9.44,202.93,157.92
285,9.48,202.93,157.92
286,9.51,202.93,157.92
287,9.54,202.93,157.92
288,9.58,202.93,157.92
289,9.61,202.93,157.92
290,9.64,202.93,157.92
291,9.68,202.93,157.92
292,9.71,202.93,157.92
293,9.74,202.17,158.68
294,9.78,202.93,157.92
295,9.81,202.17,157.92
296,9.84,202.17,157.92
297,9.88,202.93,157.92
298,9.91,202.93,157.92
299,9.94,202.93,157.92
300,9.98,202.93,157.16
301,10.01,203.69,157.16
302,10.04,203.69,157.16
303,10.08,204.46,156.39
304,10.11,204.46,156.39
305,10.14,204.46,156.39
306,10.18,204.46,156.39
307,10.21,204.46,155.63
308,10.24,205.22,155.63
309,10.28,205.22,155.63
310,10.31,205.22,155.63
311,10.34,205.22,155.63
312,10.38,205.22,154.87
313,10.41,205.22,154.87
314,10.44,205.22,155.63
315,10.48,204.46,154.87
316,10.51,205.22,154.87
317,10.54,205.22,154.87
318,10.58,205.22,154.87
319,10.61,204.46,154.87
320,10.64,204.46,154.87
321,10.68,204.46,154.87
322,10.71,204.46,154.87
323,10.74,204.46,154.87
324,10.78,204.46,154.87
325,10.81,204.46,154.87
326,10.84,204.46,154.87
327,10.88,204.46,154.87
328,10.91,204.46,154.87
329,10.94,204.46,154.87
330,10.98,205.22,154.87
331,11.01,204.46,154.87
332,11.04,204.46,154.87
333,11.08,204.46,154.87
334,11.11,204.46,154.87
335,11.14,204.46,154.87
336,11.18,204.46,154.87
337,11.21,204.46,155.63
338,11.24,204.46,154.87
339,11.28,204.46,155.63
340,11.31,204.46,154.87
341,11.34,204.46,155.63
342,11.38,204.46,155.63
343,11.41,204.46,155.63
344,11.44,204.46,155.63
345,11.48,203.69,155.63
346,11.51,204.46,155.63
347,11.54,204.46,155.63
348,11.58,204.46,155.63
349,11.61,204.46,155.63
350,11.64,204.46,155.63
351,11.68,204.46,155.63
352,11.71,204.46,155.63
353,11.75,204.46,155.63
354,11.78,204.46,155.63
355,11.81,204.46,155.63
356,11.85,203.69,155.63
357,11.88,203.69,155.63
358,11.91,204.46,155.63
359,11.95,204.46,155.63
360,11.98,204.46,155.63
361,12.01,204.46,155.63
362,12.05,204.46,155.63
363,12.08,204.46,155.63
364,12.11,204.46,155.63
365,12.15,204.46,155.63
366,12.18,204.46,154.87
367,12.21,204.46,155.63
368,12.25,205.22,154.87
369,12.28,204.46,154.87
370,12.31,205.22,154.87
371,12.35,205.22,154.87
372,12.38,205.22,154.87
373,12.41,205.22,154.87
374,12.45,205.22,154.87
375,12.48,205.22,154.87
376,12.51,205.22,154.87
377,12.55,205.22,154.87
378,12.58,205.22,154.87
379,12.61,205.22,154.87
380,12.65,204.46,154.87
381,12.68,205.22,155.63
382,12.71,204.46,155.63
383,12.75,204.46,155.63
384,12.78,204.46,155.63
385,12.81,204.46,155.63
386,12.85,203.69,155.63
387,12.88,203.69,155.63
388,12.91,204.46,154.87
389,12.95,203.69,155.63
390,12.98,203.69,154.87
391,13.01,203.69,154.87
392,13.05,203.69,154.87
393,13.08,203.69,154.87
394,13.11,203.69,154.87
395,13.15,203.69,154.87
396,13.18,203.69,154.87
397,13.21,202.93,154.87
398,13.25,202.93,154.87
399,13.28,203.69,154.87
400,13.31,202.93,154.87
401,13.35,202.93,154.87
402,13.38,202.93,154.87
403,13.41,202.93,154.87
404,13.45,202.93,154.87
405,13.48,202.93,154.87
406,13.51,203.69,154.87
407,13.55,202.93,154.87
408,13.58,202.93,155.63
409,13.61,202.93,154.87
410,13.65,202.93,154.87
